wordlist	year	 contributor	source
Tlibisho	2019	M. Daniel; K. Filatov	Fieldwork
Tukita	2019	M. Daniel	Fieldwork
Karata	2019	M. Daniel; K. Filatov	Fieldwork
Karata-D	2019	K. Filatov	magomedovaxalidova2001
Anchiq	2019	M. Daniel; K. Filatov	Fieldwork
Botlikh	2019	S. Verhees	Fieldwork
Botlikh-D	2019	A. Zakirova, K. Filatov	saidovaabusov2012
Miarso	2019	S. Verhees	Fieldwork
Kvankhidatli	2019	M. Daniel; K. Filatov; T. Maisak	Fieldwork
Zilo	2019	S. Verhees	Fieldwork
Andi-D	2018	A. Zakirova, K. Filatov	kibrikkodzasov1988; kibrikkodzasov1990
Gagatli-D	2018	A. Zakirova, K. Filatov	saidov2010
Gigatli-D	2019	K. Filatov	kibrikkodzasov1988; kibrikkodzasov1990
Nizhnie_Gakvari-D	2019	K. Filatov	kibrikkodzasov1988; kibrikkodzasov1990
Tindi-D	2019	K. Filatov	kibrikkodzasov1988; kibrikkodzasov1990
Kvanada-D	2019	K. Filatov, M. Daniel	kibriketal2001
Godoberi-D	2019	K. Filatov	kibriketal1996
Tad_Magitl-D	2019	K. Filatov	kibrikkodzasov1990
Tad_Magitl	2019	M. Daniel; K. Filatov	Fieldwork
Archo	2019	K. Filatov	Fieldwork
Chadokolob-D	2020	K. Filatov	kibrikkodzasov1988; kibrikkodzasov1990
Khushtada-D	2020	K. Filatov	magomedova2004
Rikvani-D	2020	T. Maisak, K. Filatov	Fieldwork; sulejmanov1957
Ratlub	2020	M. Daniel, K. Filatov	Fieldwork; magomedovaabdullaeva2007